Id	idConcept	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	UF1	UF2	UF3	UF4	UF5	UF6	UF7	RT1	RT2	RT3	RT4	RT5	RT6	RT7	RT8	RT9	RT10	RT11	RT12	RT13	LANG1	LANG2	LANG3	LANG4	LANG5	LANG6	NOTE1	NOTE2	NOTE3	NOTE4	
20	14993					habitat fortifié																										abitato fortificato(it)	befestigte Siedlung(de)	fortified settlement(en)	hábitat consolidado(es)	versterkte nederzetting(nl)	سكن محصن(ar)	Lieu de vie construit et muni d'ouvrages de défense. 			
21	15553						maison forte												manoir													casa fortificada(es)	Festes Haus(de)	fortified house(en)	maison forte(it)	versterkt huis(nl)	منزل محصن (ar)	demeure munie d'organes défensifs mais dont le possesseur ne détient pas les droits seigneuriaux permettant d'élever un château muni de défenses importantes : tours, donjon, etc. (Dico archi) ou maison isolée pourvue d’un système de défense. (Dico archi po)			
22	155804						ville fortifiée					village fortifié							citadelle	forteresse	ville											fortified town(en)	vestingstad(nl)					source : revue Archéologie médiévale			
23	13770							castro											forteresse	âge du Fer	Espagne											castro(en)	castro(es)	castro(it)	castro(nl)	Castro(de)	كاسترو(ar)	Habitat fortifié ibérique (JGG). Forteresse de l'âge du Fer en Espagne (BN)			
24	15987							oppidum											division administrative	fortification	Antiquité romaine											oppidum(en)	oppidum(es)	oppidum(it)	oppidum(nl)	Oppidum(de)	مدينة عالية محصنة(ar)	Grande agglomération fortifiée située en un lieu élévé (Lar.). Ville fortifiée généralement située sur une hauteur à l'époque romaine et gallo-romaine (cnrtl)			
25	14994					habitat groupé						habitat aggloméré	habitat urbain						colonie	milieu urbain												agglomerato urbano(it)	hábitat agrupado(es)	nucleated settlement(en)	Siedlungsgruppe(de)	woonkern(nl)	تجمعات سكنية(ar)	Sous ce terme sont regroupés tous les types d'agglomération urbaine (BL)			
26	26000						agglomération secondaire												vicus													agglomerato secondario(it)	aglomeración secundaria(es)	Ortserweiterung(de)	secondary agglomeration(en)	secundaire agglomeratie(nl)	مجمعات سكنية ثانوية(ar)				
27	30037						bourg																									borgo(it)	burgo(es)	market town(en)	Marktflecken(de)	marktstad(nl)	بلدة(ar)	petite ville de caractère rural où se tiennent foires et marchés. Au Moyen Age fondation autoritaire. 			
28	13714						camp militaire												agger													accampamento militare(it)	camp(en)	campamento militar(es)	Lager(de)	legerkamp(nl)	معسكر(ar)	Lieu de stationnement d'une formation militaire (Lar.)			
29	13770						castro												forteresse	âge du Fer	Espagne											castro(en)	castro(es)	castro(it)	castro(nl)	Castro(de)	كاسترو(ar)	Habitat fortifié ibérique (JGG). Forteresse de l'âge du Fer en Espagne (BN)			
30	13892						citadelle					castellum							colline	ville fortifiée	acropole											citadel(en)	citadel(nl)	cittadella(it)	ciudadela(es)	Zitadelle(de)	قلعة(ar)	Forteresse construite à l'intérieur ou près d'une ville, en vue de la défendre contre les assauts extérieurs ou les révoltes intérieures, et qui commande souvent aussi la campagne environnante (cnrtl)			
31	13905						cité-ville					cité	ville-cité						cité-état													centro urbano(es)	centro urbano(it)	city-town(en)	stadstaat(nl)	Stadtstaat(de)	ضاحية ـ مدينة(ar)				
32	13899							cité grecque																								città greca(it)	ciudad griega(es)	Greek city(en)	griechische Stadt(de)	Griekse stad(nl)	مدينة إغريقية(ar)				
33	14009						comptoir												bâtiment commercial													compagnia commerciale privilegiata(it)	factoría en colonias(es)	factorij(nl)	Kontor(de)	trading post(en)	مركز تجاري(ar)	Etablissement de commerce, de banque fondé par une nation ou des particuliers dans des pays éloignés (Lar.)			
34	14589							emporium				emporion																				emporio(es)	emporio(it)	emporium(en)	emporium(nl)	Emporium(de)	وكالة تحارية(ar)	Comptoir, établissement commercial fondé en pays étranger (Lar.)			
35	177961						hameau																									aldea(es)	borgata(it)	gehucht(nl)	hamlet (place)(en)	Weiler(de)		Groupe d'habitations rurales situées à l'écart d'un village et administrativement rattachées à une commune (CNRTL).			
36	15987						oppidum												division administrative	fortification	Antiquité romaine											oppidum(en)	oppidum(es)	oppidum(it)	oppidum(nl)	Oppidum(de)	مدينة عالية محصنة(ar)	Grande agglomération fortifiée située en un lieu élévé (Lar.). Ville fortifiée généralement située sur une hauteur à l'époque romaine et gallo-romaine (cnrtl)			
37	16347						port					cité portuaire	ville portuaire						dock	hydraulique	littoral	quai	station littorale	archéologie du littoral								Hafen(de)	harbour(en)	haven(nl)	porto(it)	puerto(es)	مرفأ(ar)	Infrastructure construite par l'homme, située sur le littoral maritime, sur les berges d'un lac ou sur un cours d'eau, et destinée à accueillir des bateaux et navires. (Wikipédia)			
38	36529							avant-port																								مرفأ أمامي(ar)						Un avant-port correspond aux espaces portuaires les plus en aval permettant l'accueil de navires dans un abri qui permet les manoeuvres d'arrêt et d'évitage avant l'entrée dans le port proprement dit. (Les ports dans l'espace méditerranéen antique sous la direction de C. Sanchez et M.-P. Jézégou. - Montpellier, 2016, p. 401)			
39	178302							chantier naval											construction navale													astillero naval(es)	cantiere navale(it)	shipyard(en)	werft(de)			lieu où l'on construit les bateaux			
40	36528							port fluvial																								inland port(en)	مرفأ نهري(ar)					Infrastructure construite par l'homme, située sur le bord d'un fleuve, d'une rivière ou d'un canal et destinée à accueillir des bateaux et navires. (Wikipédia)			
41	36527							port lacustre																								مرفأ بُحَيري(ar)						Infrastructure construite par l'homme, située en bordure d'un lac et destinée à accueillir des bateaux et navires. (Wikipédia) 			
42	16348							port maritime				ville maritime																				porto marittimo(it)	puerto marítimo(es)	sea port(en)	Seehafen(de)	zeehaven(nl)	مرفأ بحري(ar)	Infrastructure construite par l'homme située sur la côte d'une mer ou d'un océan et destinée à accueillir des bateaux et navires. (Wikipédia) 			
43	16538						quartier												quartier spécial													barrio(es)	quarter(en)	quartiere(it)	Viertel(de)	wijk(nl)	حي(ar)				
44	17538						village					agglomération rurale																				Dorf(de)	dorp(nl)	pueblo(es)	village(en)	villaggio(it)	قرية(ar)				
45	14575							dème																								deme(en)	deme(nl)	Deme(de)	demo(es)	demo(it)	ديم(ar)	Nom des bourgs de l'Attique (Robert)			
46	15371							kome																								kome(en)	kome(es)	kome(it)	kome(nl)	Kome(de)	قرية صغيرة (ar)	Village    , s'oppose à la cité (BH)			
47	16304							poblado																								poblado(en)	poblado(es)	poblado(it)	poblado(nl)	Poblado(de)	تجمع سكني(ar)				
48	17539						ville					agglomération	agglomération urbaine						développement urbain	ville fortifiée	urbanisation	urbanisme	histoire urbaine									città(it)	ciudad(es)	stad(nl)	Stadt(de)	town(en)	مدينة(ar)	Agglomération importante dotée d'une administration et jouissant, à certaines époques, de droits particuliers (Patriarche complété)			
49	19353					habitat ouvert																										abitato aperto(it)	hábitat abierto(es)	offene Siedlung(de)	open nederzetting(nl)	open settlement(en)	مساكن مفتوحة(ar)				
50	178487					habitat rupestre																																			
51	13076						abri sous roche					abri rupestre	abri-sous-roche						abri	Grotte de Jeita												abrigo(es)	Felsabri(de)	riparo(it)	rock-shelter(en)	rotsbeschutting(nl)	ملجئ صخري(ar)	Cavité dans une paroi rocheuse, peu profonde et largement ouverte à l'air libre. Un abri sous roche est caractérisé par un toit constitué par le surplomb rocheux, un fond ou encorbellement, un plancher rocheux ou détritique. Devant l'ouverture ou baie s'étend un talus qui peut être recouvert d'éboulis. Les abris sous roches ont été habités par les hommes préhistoriques. (Leroi-Gourhan, Dictionnaire de la Préhistoire, 1994, p.3)			
52	178488						habitat troglodytique					habitat troglodyte	maison troglodytique																			Grotwoning(nl)	hábitat troglodítico(es)	underground living(en)				Habitat souterrain ou creusé dans le rocher à flanc de montagne (Wikipédia)			
53	20871					habitat rural													bâtiment agricole	milieu rural	habitat dispersé	architecture rurale										hábitat rural(es)	insediamento rurale(it)	landelijke nederzetting(nl)	Landsiedlung(de)	rural settlement(en)	سكن ريفي(ar)	Ensemble des conditions d'organisation et de peuplement par l'homme dans la campagne où il vit.			
54	155806					habitat saisonnier													saison agricole	saisonnier	saisonnalité											seasonal settlement(en)						source : revue Archéologie médiévale			
55	14995					habitation																										abitazione(it)	dwelling-place(en)	vivienda(es)	Wohnstätte(de)	woning(nl)	مسكن(ar)	Construction servant habituellement à résider (Dico archi po)			
56	15017					harem																										harem(en)	harem(es)	harem(it)	harem(nl)	Harem(de)	حريم(ar)	partie d'une maison dont l'accès est en général interdit aux hommes ; appartement réservé aux femmes (Edith)			
57	15183					immeuble						habitation-HLM																				block of flats(en)	caseggiato(it)	construcción(es)	flatgebouw(nl)	Mietshaus(de)	بناء طابقي(ar)	Demeure divisée, à la construction, en appartements pour plusieurs particuliers. (Dico archi)			
58	27512					lupanar						bordel	maison close	maison de prostitution					bâtiment commercial	prostitution												lupanar(en)	lupanar(es)	lupanar(nl)	Lupanar(de)	lupanare(it)	ماخور(ar)	maison de prostitution, lieu de débauche (ATLIF)			
59	15551					maison																										casa(es)	casa(it)	Haus(de)	house(en)	huis(nl)	منزل(ar)	Bâtiment construit pour servir d'habitation aux personnes (Lar)			
60	14453						domus																									domus(en)	domus(es)	domus(it)	domus(nl)	Domus(de)	بيت(ar)	Comprend la maison et la maisonnée dans son sens latin.			
61	15555						maison à deux nefs																									casa a due navate(it)	casa con dos pasillos(es)	tweebeukig huis(nl)	two-aisled house(en)	zweischiffiges Haus(de)	منزل بجناحين(ar)	Bâtiment à deux vaisseaux, à développement en profondeur, qui a en général plusieurs fonctions : habitation et exploitation, et qui abrite à la fois les humains et le cheptel, matériel et réserve.  (http://www.pierreseche.com/grande_lande_auvents.htm)			
62	15556						maison à péristyle																									casa con peristilio(it)	casa con perístilo(es)	huis met peristyle(nl)	peristyle building(en)	Peristylhaus(de)	منزل برواق(ar)	Bâtiment construit pour servir d'habitation aux personnes orné d’une galerie délimitée d'un côté par le mur d'un édifice et de l'autre par une ou plusieurs rangées de colonnes, qui sont construite à l'intérieur ou à l'extérieur de cet édifice.			
63	15552						maison danubienne																									bandkeramisches Langhaus(de)	casa danubia(es)	casa danubiana(it)	Danubian house(en)	Danubisch huis(nl)	منزل دانوبياني(ar)	Maison quadrangulaire ou trapézoïdale allongée de très grandes dimensions sur poteaux en bois avec des fosses latérales			
64	15554						maison ronde																									casa redonda(es)	casa ronda(it)	rond huis(nl)	round house(en)	Rundhaus(de)	منزل  مدور(ar)	Bâtiment servant de lieu d’habitation à plan rond (ER)			
65	35473						maison-tour																									casa a torre(it)	casa torre(es)	tower-house(en)	Wohnturm(de)	woontoren(nl)	منزل  برج(ar)				
66	15964						oikos																									oikos(en)	oikos(es)	oikos(it)	oikos(nl)	Oikos(de)	منزل أُسَري(ar)	Comprend la maison et la maisonnée dans son sens grec.			
67	16126						partie de maison																									deel van een huis(nl)	Hausteil(de)	parte de casa(es)	parti della casa(it)	part of house(en)	جزء من المنزل(ar)				
68	13468							atrium																								atrio(es)	atrium(en)	atrium(it)	atrium(nl)	Atrium(de)	فناء(ar)	Pièce principale de la maison romaine éclairée par une ouverture carrée, le compluvium (Lar.)			
69	14823							four domestique																								Backofen(de)	bakoven(nl)	domestic oven(en)	forno domestico(it)	horno doméstico(es)	فرن منزلي(ar)	ouvrage de maçonnerie voûté, généralement circulaire, où l'on fait cuire le pain, la pâtisserie, etc. (CNRTL)			
70	27472							gynécée																								gineceo(es)	gineceo(it)	gynaeceum(en)	gynaeceum(nl)	Gynaikeion(de)	خدر(ar)	Partie de l'habitation réservée aux femmes. Syn. Harem (ATLIF)			
71	17282							thermes privés																								private baths(en)	private thermen(nl)	private Thermen(de)	termas privadas(es)	terme private(it)	حمامات خاصة(ar)	Établissement de bains renfermant les différents bassins d'eau chaude ou froide, dans la maison d’un individu.			
72	150330							triclinium																								triclinio(es)	triclinio(it)	triclinium(en)	triclinium(nl)	Triclinium(de)	قاعة استقبال(ar)	Salle de réception ou salle à manger d'une domus, comportant une table et des lits de banquets. (Wikipédia)			
73	16068					palais						architecture palatiale	palais royal						salle d'apparat	résidence aristocratique	vie de cour											palace(en)	palacio(es)	Palast(de)	palazzo(it)	paleis(nl)	قصر(ar)	demeure vaste, siège de l’autorité et du pouvoir, et qui sert de résidence à un personnage important (ATLIF). Anaktoron en grec ancien.			
74	15835						mégaron																									megaron(en)	megaron(nl)	Megaron(de)	mègaron(it)	megarón(es)	قاعة ضيافة يونانية(ar)	Dans l’architecture grecque, habitation rectangulaire à foyer fixe et à vestibule avec toit en double pente, précédée d’un porche à antes. A l'époque mycénienne et grecque, grande pièce d'apparat (CNRLT)			
75	18928					pâté de maisons						insula																				block of houses(en)	Häuserblock(de)	huizenblok(nl)	isolato(it)	manzana(es)	مجموعة منازل تشكل كتلة تحد الشارع(ar)	Ensemble de maisons formant bloc (ATLIF)			
76	16763					résidence aristocratique						habitat élitaire	résidence princière						palais													abitazione aristocratica(it)	Adelssitz(de)	aristocratic home(en)	aristocratische woning(nl)	residencia aristocrática(es)	اقامة ارستوقراطية(ar)	Habitation non fortifiée d'un propriétaire de fief, noble ou non. (ATLIF)			
77	155748						hôtel particulier					hôtel élitaire	hôtel urbain																			Stadtpalais(de)	townhouse(en)					Résidence urbaine de prestige	source : revue Archéologie médiévale		
78	15568						manoir					gentilhommière	maison noble						maison forte	salle d'apparat												casa solariega(es)	Herrenhaus(de)	landhuis(nl)	maniero(it)	manor house(en)	قصير ريفي(ar)	Habitation non fortifiée d'un propriétaire de fief, noble ou non. (ATLIF)			
79	22783					structure annexe						bâtiment annexe																				aanbouw(nl)	Anbauten(de)	annexed structure(en)	estructura anexa(es)	struttura annessa(it)	بناء ملحق(ar)	dépendance			
80	22784						cuve (structure)																									Bottich(de)	cuba (estructura)(es)	kuip (structuur)(nl)	vasca (stuttura)(it)	vat (structure)(en)	خزان(ar)	Récipient généralement de grande taille, installé durablement en un lieu, et dans lequel s'opère une modification du contenu. (ATLIF)			
81	13551							bassin de décantation											puisard													bezinkvijver(nl)	estanque de sedimentación(es)	Klärbecken(de)	settling basin(en)	vasca di decantazione(it)	حوض تجميع المياه(ar)	Bassin où se pratique la décantation. (Dic. céramique PO)			
82	22785							cuve à vin																								tina de vino(es)	tino(it)	Weinbottich(de)	wijnvat(nl)	wine vat(en)	دن الخمر(ar)	Grand réservoir cylindrique fait généralement de douves cerclées de fer, utilisé pour la fermentation du raisin destiné à la fabrication du vin (CNRTL)			
83	246298						remise																									carriage house(en)	koetshuis(nl)	Remise(de)	بيت المركب(ar)			Edifice où étaient remisés les véhicules, à l'époque de la traction animale (Wikipédia).			
84	17260					tente																										tenda(it)	tent(en)	tent(nl)	tienda(es)	Zelt(de)	خيمة(ar)	abri portatif, fait généralement d'une toile tendue sur des supports (CNRTL)			
85	17534					villa						villae	villa romaine	villa rustica																		villa(en)	villa(es)	villa(it)	villa(nl)	Villa(de)	فيلا (ar)	Dans le sens de la villa romaine (dans les campagnes)			
86	246291						pars rustica																									pars rustica(it)						Partie de la villa romaine comportant tous les bâtiments nécessaires à l'exploitation agricole de son foncier (PM)			
87	246290						pars urbana					partie résidentielle de villa	villa urbana																			pars urbana(it)						Partie résidentielle d'une villa romaine, comportant les espaces d’habitation et d’agrément (AERBA).			
88	13297			architecture funéraire															mort	édifice funéraire												architettura funeraria(it)	arquitectura funeraria(es)	funeraire architectuur(nl)	funerary architecture(en)	Grabarchitektur(de)	عمارة جنائزية(ar)	Art, science et technique de la construction, de l'aménagement des édifices relatifs à la mort			
89	13301			architecture militaire																												architettura militare(it)	arquitectura militar(es)	militaire architectuur(nl)	Militärarchitektur(de)	military architecture(en)	عمارة عسكرية(ar)	Art, science et technique de la construction, de l'aménagement des édifices en relation avec la guerre. (ER)			
90	13684				bâtiment militaire														architecture monumentale													edificio militar(es)	edificio militare(it)	militair gebouw(nl)	Militärgebäude(de)	military building(en)	منشأة عسكرية(ar)	construction immobilière, pouvant comporter plusieurs édifices, servant à l’abri ou ayant une fonction spécifique, se rapportant à la guerre (ER)			
91	13368					arsenal						magasin d'armes																				arsenaal(nl)	arsenal(en)	arsenal(es)	arsenale(it)	Zeughaus(de)	ترسانة أسلحة(ar)	Dépôt d’armes et de munitions. (Lar.)			
92	13766					caserne						logement de troupe																				barracks(en)	caserma(it)	cuartel(es)	Kaserne(de)	kazerne(nl)	ثكنة(ar)	Bâtiment affecté au logement des militaires (Lar.)			
93	13877					château-fort													fossé défensif	castellologie												burcht(nl)	Burgfestung(de)	fuerte(es)	motte and bailey castle(en)	roccaforte(it)	قصر مُحَصَّن(ar)	Forteresse souvent construite sur une hauteur et/ou difficilement accessible, aux murs flanqués de tours et entourés d'un fossé, servant d'habitation seigneuriale (cntrl)			
94	13549						basse-cour (château)																									corral(es)	cortile(it)	inner bailey(en)	voorburcht(nl)	Vorburg(de)	فناء داخلي منخفض(ar)	Cour intérieure d’une forteresse, autour ou à côté de la motte. (TLFi) (BL). Cour de service d'une place forte ou d'un château-fort (Patriarche)			
95	14458						donjon					tour maîtresse																				donjon(nl)	keep(en)	mastio(it)	torreón(es)	Wohnturm(de)	برج رئيسي(ar)	Tour maîtresse d’un château fort, qui était la demeure du seigneur et servait de dernier retranchement à la garnison. (Lar.)			
96	155745						haute-cour																									upper bailey(en)						Au XIIe siècle, les châteaux forts sont construits avec deux enceintes. La cour la plus intérieure est appelée haute-cour, par opposition à la basse-cour, située entre les deux enceintes (wikipedia)	source : revue Archéologie médiévale		
97	35622						logis																									abitazione(it)	dwelling(en)	hoofdburcht(nl)	Kernburg(de)	vivienda(es)	جزء سَكَني في قصر(ar)	Partie résidentielle du château			
98	15765						motte												levée de terre													motte(en)	motte(it)	motte(nl)	Motte(de)	terrón(es)	ربوة(ar)	Tertre, château édifié sur une butte, à côté d’une basse-cour. (Lar.) (BL)			
99	13892					citadelle						castellum							colline	ville fortifiée	acropole											citadel(en)	citadel(nl)	cittadella(it)	ciudadela(es)	Zitadelle(de)	قلعة(ar)	Forteresse construite à l'intérieur ou près d'une ville, en vue de la défendre contre les assauts extérieurs ou les révoltes intérieures, et qui commande souvent aussi la campagne environnante (cnrtl)			
100	14596					enceinte													fortification	rempart												cinta muraria(it)	enclosure wall(en)	muralla(es)	ommuring(nl)	Wehrmauer(de)	سور(ar)	Clôture continue enveloppant une place ou une partie de place pour sa défense (Dict. Archi. PO). Ce qui entoure un espace pour le délimiter et en défendre l'accès (cnrtl)			
101	15789						mur d'enceinte																									muralla(es)	muro di cinta(it)	rampart(en)	ringmuur(nl)	Stadtmauer(de)	سور جداري(ar)	Ouvrage vertical protégeant soit une agglomération, soit un ensemble architectural. (Dict. Archi. PO)			
102	16352						porte urbaine																									city gate(en)	porta urbana(it)	puerta de calle(es)	stadspoort(nl)	Stadttor(de)	بوابة مدينة(ar)	Baie de communication donnant ou fermant l’accès à une agglomération. (Dic. Archi. PO) (BL)			
103	14800					forteresse													castro	ville fortifiée												Festung(de)	fort(nl)	fortaleza(es)	fortezza(it)	fortress(en)	حِصن(ar)	Place forte isolée, sans lien avec une agglomération. (Dic. Archi. PO)			
104	14801					fortification						architecture défensive							enceinte	oppidum												Befestigung(de)	fortificación(es)	fortification(en)	fortificazioni(it)	versterking(nl)	تحصينات(ar)	Ouvrage défensif. (Lar.)			
105	13554						bastion																									Bastei(de)	bastion(en)	bastion(nl)	bastión(es)	bastione(it)	حصن بارز(ar)	Ouvrage disposé en saillie sur l’enceinte d’une place forte. (Lar.)			
106	178256						blockhaus					bunker																				bunker(en)	bunker(it)	Bunker(de)	búnker(es)	Bunker (verdedigingswerk)(nl)		Dans l'architecture moderne, casemate cuirassée formant un organe distinct (Pérouse de Montclos, 2002, p. 491)			
107	177893						casemate																									pill-box(en)						Dans l'architecture classique et moderne, chambre voûtée à l'épreuve de l'artillerie. Active avec des cheminées d'évacuation des fumées quand elle sert d'emplacement de tir (Architecture : méthode et vocabulaire, 1972)			
108	24053						courtine																									cortina(es)	cortina(it)	courtain wall(en)	courtine(nl)	Kurtine(de)	جدار بين استحكامين(ar)	Partie du mur d’un rempart comprise entre deux tours. (Dic. Archi. PO)			
109	14810						fossé défensif					vallum							château-fort													ditch(en)	fosa(es)	fossato(it)	Graben(de)	sloot(nl)	خندق(ar)	Excavation défensive à l'extérieur d'une fortification ou séparant deux éléments de celle-ci. Peut-être sèche ou remplie d'eau (douve)(Meyer, Glossaire Burgenfachwörterbuch des mittelalterlichen Weherhaus 1975)			
110	20642							douves				fossé en eau																				Burggraben(de)	foso(es)	fossato di castello(it)	moat(en)	slotgracht(nl)	خندق يحيط بالقلاع(ar)	Fossé empli d’eau entourant un château ou des remparts. (Lar.)			
111	35604						levée de terre					talus	terrée						motte													argine(it)	bank(en)	Damm(de)	ophoging(nl)	terraplén(es)	أكمة ترابية(ar)	Terrain réservé aux morts, entourant une ou plusieurs églises, délimité par une clôture, des murs ou un fossé par exemple, et intégré à l'habitat groupé (M. Colardelle. Terminologie descriptive des sépultures antiques et médiévales, 1996)			
112	26008							agger											camp militaire													agger(en)	agger(es)	agger(it)	agger(nl)	Agger(de)	تلعة(ar)	Levée de terre, en particulier pour fortifier un camp (Musée d'Argentomagus). Accumulation de terre de plusieurs mètres de hauteur et de plusieurs dizaines de mètres de largeur, qui constitue le type le plus fréquent de fortification pour les villes du Latium archaïque et par la suite des camps légionnaires romains (wikipedia)			
113	15790						muraille												mur													Befestigungsmauer(de)	fortified wall(en)	muraglia(it)	muralla(es)	versterkte muur(nl)	سور مرتفع(ar)	Désigne un mur de défense destiné à protéger une agglomération ou une région. (Dict. Archi. PO)			
114	35605						ouvrage avancé																									verdedigingswerk(nl)	منشاة دفاعية متقدمة(ar)					Ouvrage de défense, détaché en avant d'une fortification pour protéger les approches (Meyer, Glossaire Burgenfachwörterbuch des mittelalterlichen Weherhaus 1975)			
115	155746							barbacane																								barbacana(es)	barbacane(it)	barbacane(nl)	Barbakane(de)	barbican(en)		Ouvrage extérieur de fortification en maçonnerie ou en bois, percé de meurtrières, protégeant un point important, tel qu'un pont, une route, un passage, une porte (cnrtl)			
116	16073						palissade																									empalizada(es)	palisade(en)	palissade(nl)	Palissade(de)	steccato(it)	حباك(ar)	Clôture formée de pieux ou de planches fichées en terre. (Dic. Archi. PO)			
117	24060						pont-levis																									drawbridge(en)	ophaalbrug(nl)	ponte levatoio(it)	puente levadizo(es)	Zugbrücke(de)	جسر متحرك(ar)	Pont jeté au-dessus du fossé entourant un ouvrage fortifié, qui peut se lever ou s’abaisser. (Lar.)			
118	21771						rempart												enceinte													baluardo(it)	baluarte(es)	bulwark(en)	Ringmauer(de)	versterkte muur(nl)	ساتر(ar)	Défense faite d'un remblai de terre taluté, généralement placé derrière un fossé et parfois complétée par une structure interne en bois, des parements de pierre et d'une palissade (Meyer, Glossaire Burgenfachwörterbuch des mittelalterlichen Weherhaus 1975, complété)			
119	21794							murus gallicus											La Tène D													murus gallicus(en)	murus gallicus(es)	murus gallicus(it)	murus gallicus(nl)	Murus Gallicus(de)	سور  غالي(ar)	Mur de défense gaulois. (BL)			
