Id	idConcept	N1	N2	N3	N4	N5	N6	UF1	UF2	UF3	UF4	UF5	RT1	RT2	RT3	RT4	RT5	RT6	RT7	LANG1	LANG2	LANG3	LANG4	LANG5	LANG6	NOTE1	NOTE2	
14	22791				Clovis culture															Clovis culture(en)	Clovis-cultuur(nl)	Clovis-Kultur(de)	cultura Clovis(es)	cultura Clovis(it)	ثقافة كلوفيس(ar)	Culture préhistorique désignée  d'après le site éponyme de Clovis du Nouveau Mexique. L'archétype de l'outillage lithique de cette période est la  pointe de Clovis  objet bifacial dont la partie distale est pointue et la base est amincie par une petite cannelure sur les deux faces de l'outil (Dictionnaire de la Préhistoire 1988). En tant que complexe culturel, Clovis a été récemment redéfinie comme une culture des Paléoindiens liés entre eux et produisant leurs outils par débitage de lames ou par façonnage des pointes bifaciales et dont certains groupe se diffusent à travers la majeure partie des Etats-Unis et au nord du Mexique vers la fin du Pleistocène 13000 B.P. cal. (Goebel T. 2014, 336 in Clovis in the Edge of a New Understanding). D'autres groupe humains occupèrent le Nouveau Monde avant la culture Clovis. Celle-ci présente alors soit une migration postérieure, soit simplement une technologie lithique qui s'est répandue parmi les populations existantes (J. David Kilby 2011, 72 in Peuplements et Préhistoire en Amériques).	
15	35958				Folsom culture			Culture Folsom	Tradition Folsom											Cultura folsom(es)	Cultura Folsom(it)	Folsom-cultuur(nl)	Folsom-Kultur(de)	Folsom tradition(en)	ثقافة فولسوم(ar)	Le site de Folsom au Nouveau-Mexique a été découvert en 1908 et a donné son nom à un type de pointe paléoindienne et à une culture préhistorique datée entre 10900 et 10200 BP. (J. Meltzer D. 2011, 86 in Peuplements et Préhistoire en Amériques). Les pointes bifaciales de Folsom, fabriquées à partir de chert et de bois pétrifié, sont typologiquement comparables aux pointes de Clovis, mais leur base est amincie par une cannelure plus longue sur les deux faces de l'outil (Dictionnaire de la Préhistoire, 1988). Les données des fouilles anciennes et récentes montrent que Folsom était un site de chasse au bison opportuniste plutôt qu'un site de chasse à l'affut (Frison 2004; J. Meltzer D. 2011, 94 in Peuplements et Préhistoire en Amériques)	
16	150959			Cultures Pré-Clovis																						La culture Pré-Clovis s'étend de 16800 à 13200 B.P. (Across Atlantic Ice, the origin of America's Clovis culture, 2012, xi)	
17	150955			Cultures sudaméricaines																South-American Cultures(en)	ثقافات أمريكا الجنوبية(ar)						
18	150957				Chinchorro culture															Chinchorro Culture(en)	ثقافة شينشورو(ar)					Les Chinchorros sont les premiers chasseurs-pêcheurs-cueilleurs à habiter le désert d'Atacama il y a 10000 ans. La côte désertique d'Atacama, un milieu inhospitalier car ne recevant aucune précipitation, s'étend sur 1500 km du sud de Pérou jusqu'à Copiapo au nord de Chili. La culture de Chinchorro est l'une des plus anciennes cultures au monde ayant pratiqué la momification des défunts a partir 7000 ans avant notre ère. (T. Ariaza B. 2008, 45 in HandeBook of South American Archaeology).	
19	150971				Sambaqui culture															Sambaqui Culture(en)	ثقافة سامباكي(ar)					Sambaqui, littéralement, amas coquillier est le nom donné, au Brésil, aux sites formés exclusivement de coquilles qui s'étendent le long du littoral brésilien entre 20 et 30° de latitude sud (Dictionnaire de la Préhistoire 1994 980). La culture des Sambaquis est présente dans les îles, les baies et les estuaires entre 8000 et 1000 BP. Les études suggèrent une seule origine des Sambaquis située dans la région de la côte de Parana et au sud de Sao Paulo. De là, les population se seraient étendues vers le sud, à Santa Catarina, et vers le nord, sur la côte de Sao Paulo, puis vers Rio de Janeiro et Espirito Santo (Schmitz 1981; Figuti L. 2011, 300-303 in Peuplements et Préhistoire en Amériques).	
20	18339			Paléoindien																Paläoindianische Kultur(de)	Paleoindian(en)	paleo-indianen(nl)	Paleoindiano(it)	Paleoindio(es)	هندوأمريكية قديمة(ar)		Évoquant une période, ce terme est à fusionner avec celui de Période paléoindienne dans le domaine chronologie (opentheso teste).
21	12664		Cultures de l'Épipaléolithique-Mésolithique										Épipaléolithique	Epipaléolithique et Mésolithique	Mésolithique					Epipalaeolithic-Mesolithic(en)	Epipaläolithikum-Mesolithikum(de)	Epipaleolithische-Mesolithisch(nl)	Epipaleolitico-Mesolitico(it)	Epipaleolítico-Mesolítico(es)	إب باليوليت ـ ميزوليت(ar)		
22	12545			Asturien																Asturian(en)	Asturiano(it)	Asturien(de)	Asturien(nl)	Asturiense(es)	أستوري(ar)	Culture mésolithique côtière empruntant son nom à la province des Asturies, au nord-ouest de la péninsule ibérique. Le terme a été créé par D. Ricardo de Vega del Sella en 1923 d'après ses fouilles de la grotte El Penicial en 1914 et d'autres grottes des Asturies. L'Asturien est connu par 22 sites répartis sur 67 km, mais la majorité des informations provient de trois gisements : Balmori, La Riera et Liencres. Les gisements asturiens, presque tous sous abri, contiennent des amas coquilliers largement dominés par les mollusques marins et terrestres. L'industrie lithique est caractérisée par le pic asturien, outil façonné sur un galet de quartzite assez plat et taillé unifacialement sur les trois quarts de son pourtour de façon à dégager une pointe plus ou moins allongée à bords droits ou concaves et de section triédique vers son extrémité distale. (Leroi-Gourhan 1994, 80-81).	
23	12559			Azilien																Azilian(en)	Aziliano(it)	Azilien(de)	Azilien(nl)	Aziliense(es)	آزيلي(ar)	Culture mésolithique (ou épipaléolithique) définie par E. Piette d'après ses découvertes dans la grotte de Mas d'Azil (Ariège). Pendant cette période, ce sont les fragments osseux ou en bois de cervidé, les petits éléments lithiques (plaquettes et galets de rivière) qui constituent les supports privilégiés d'une expression qui deviendra par la suite essentiellement géométrique.  L'art de cette période a été trop souvent présenté comme fondamentalement différent et en rupture totale avec ce qui précède : l'art devenant schématique. Toute œuvre d'art figurative était attribuée au Magdalénien, même si elle était associée à un outillage typiquement azilien (le Magdaléno-Azilien d'A. Lemozi à l'Abri Murat). Or, des exemples nombreux montrent la pérennité de la tradition naturaliste pendant l'Azilien et même jusqu'à une époque bien plus tardive en Espagne. Le passage de l'art figuratif paléolithique à l'art schématique mésolithique  se fait donc progressivement.(Leroi-Gourhan 1994, 97-98; la Préhistoire dans le monde 1992, 517).	
24	20639			Beuronien				Beuron-Coincy												Beuronian(en)	Beuroniano(it)	Beuronien(de)	Beuronien(es)	Beuronien(nl)	بوروني(ar)	Culture mésolithique isolée par W. Taute en 1971 d'après ses fouilles dans la grotte de Jägerhaushöhle près de la ville de Beuron sur le haut Danube.	Fusionné avec Tardenoisien.
25	12593			Capsien																Capsian(en)	Capsiano(it)	Capsien(de)	Capsien(nl)	Capsiense(es)	قفصي(ar)	Le Capsien couvre la période du VIIIe au Ve millénaire B.P. Bien représenté au Maghreb et principalement en Tunisie, il tire son nom de Capsa devenue plus tard la ville de Gafsa. Les gisements capsiens sont plus connus sous le nom d'escargotières, petites buttes de 1 à 2 m d'épaisseur, qui peuvent atteindre 150 m de long  et 80 m de large. Ils portent aussi le nom de «rammadiyat» (cendres). L'industrie lithique est de tradition épipaléolithique, principalement composée de lamelles à bord abattu et l'industrie osseuse est bien développée. On a divisé le Capsien en deux périodes le Capsien typique et le Capsien supérieur (Leroi-Gourhan 1994, 196-197; la Préhistoire dans le monde 1992, 621-623).	
26	12601			Castelnovien																Castelnovian(en)	Castelnoviano(it)	Castelnovien(de)	Castelnovien(nl)	Castelnoviense(es)	كاستلنوفي(ar)	Culture mésolithique du sud-est de France, défini par M. Escalon de Fonton d'après ses fouilles dans l'abri sous roche de la Font-des-Pigeons (Châteauneuf-lez-Martigues, Bouches-du-Rhône). Le débitage du Castelnovien est laminaire et lamellaire. La technique du microburin est largement employée dès le début du Castelnovien (Leroi-Gourhan 1994, 204-205).	
27	12663			Epimagdalénien									Mésolithique							Epimaddaleniano(it)	Epimagdalenian(en)	Epimagdalénien(de)	Epimagdalénien(nl)	Epimagdaleniense(es)	إبِّ مجدلاني(ar)	En 1957, H. de Lumley introduit le terme Epimagdalénien pour désigner les industries lithiques magdaléniennes persitant au Mésolithique et se caractérisant par une diminution du pourcentage des burins et par une augmentation des grattoirs sur éclats (Leroi-Gourhan 1994, 375).	Terme devenu obsolète au profit du terme Mésolithique adopté par les préhistoriens.
28	24579			Ertebolle culture																cultura de Ertebolle(es)	Ertebolle cultura(it)	Ertebolle culture(en)	Ertebolle-cultuur(nl)	Ertebölle-Kultur(de)	ثقافة إيرتبول(ar)	Culture du Mésolithique final de la Scandinavie, souvent associée à des amas coquillers. Le terme dérive de la localité d'Ertebolle au nord du Jutland (Danemark) où un de ces énormes amas a été fouillé à la fin du XIXe siècle. L'industrie lithique est caractérisée par un débitage laminaire effectué à partir de nucléus coniques unipolaires (Leroi-Gourhan 1994, 381).	
29	21706			Federmesser culture																cultura de Federmesser(es)	Federmesser cultura(it)	Federmesser culture(en)	Federmesser-cultuur(nl)	Federmesser-Gruppen(de)	ثقافة فيدير ميسير(ar)	Les industries caractérisées par des pointe dites Federmesser, lames à dos courbe, convexe, abattu et des grattoirs courts sur éclats, ont été reconnues par H. J. Popping aux Pays-Bas en 1933. H. Schwabedissen les appelle civilisation de Federmesser et le terme est retenu malgré l'appartenance au techno-complexe Azilien (Leroi-Gourhan 1994, 396-397).	
30	12710			Hoabinhien				Hoabinien												Hoa Binh-cultuur(nl)	Hoabinhian(en)	Hoabinhiano(it)	Hoabinhiense(es)	Hoa-binh-Kultur(de)	ثقافة هوابينهي(ar)	Phase importante et très discutée de la préhistoire de l'Asie du Sud-Est, généralement située entre le Paléolithique supérieur et le Néolithique évolué. Le nom dérive des grottes autour de Hoa-Binh dans le nord du Viêt-nam, fouillées pour la première fois par Madeleine Colani. Ce nom fut d'abord donné aux industries composées d'outillage  fruste . Le polissage apparaissant dans le Bacsonien, considéré comme la phase finale du Hoabinhien, qui correspond au Mésolithique local daté du IIIe au IVe millénaire. Plus récemment, le terme de Hoabinhien est adopté pour désigner tout site montrant des signe d'une horticulture naissante, sans tenir compte de la typologie de l'outillage lithique. Ainsi, des sites classés comme Hoabinhiens se trouvent dans le péninsule Indochinoise, en Malaisie, à Sumatra, dans le nord des Philippines et même en Australie (Leroi-Gourhan 1994, 514).	
31	12727			Ibéro-Maurusien				Ibéromaurusien					Kérémien							Iberomarusien(nl)	Iberomaurusian(en)	Ibero-Maurusiano(it)	Iberomaurusien(de)	Ibero-Maurusiense(es)	إيبيرو ـ موروسي(ar)	Ce terme désigne une industrie épipaléolithique nord-africaine découverte par P. Pallary en 1899 à La Mouillah (Algérie). L'auteur adopte ce terme car il croyait à une même civilisation dans le sud de l'Espagne et le nord de l'Afrique. L'industrie lithique de La Mouillah est caractérisée par une production essentiellement lamellaire et la prédominance des lamelles à bord abattu et des pointes de la Mouillah (Leroi-Gourhan 1994, 531).	
32	38503			Janislawicien																cultura de Janislawice(es)	Janislawice culture(en)	Janislawice-Kultur(de)	جانسلاويسي(ar)			Nom d'une station mésolithique des environs de Skierniewice, au bord de la Vistule (Pologne). La tombe fouillée sur ce site contenait un squelette de type  lapponoïde  auquel était associé un outillage en os évoquant celui du  Cercle  culturel septentrional (Maglemose). Cette sépulture fut choisie comme éponyme de la culture Janislawice, synonyme de Cycle culturel de la Vistule. Cette culture couvre essentiellement la période Atlantique et persiste technologiquement et typologiquement dans la culture Néolithique. L'élément caractéristique de cette industrie réside dans son débitage régulier de lames extraites à partir de nucléus unipolaire et des armatures triangulaires trapézoïdales (pointe de Janislawice) dont la pointe est obtenue par la technique du microburin (Leroi-Gourhan 1994, 552).	
33	12767			Kébarien																Kebaran(en)	Kebariana cultura(it)	Kebarien(de)	Kébarien(nl)	Kebariense(es)	كباري(ar)	Nom donné à partir du site éponyme, la grotte de Kébara au Mont Carmel pour désigner une industrie lithique épipaléolithique du Levant caractérisée par une production essentiellement lamellaire et un outillage majoritairement microlithique. L'élément caractéristique de cette phase est le triangle obtenu par la technique du microburin (Leroi-Gourhan 1994, 578-579). Si le terme est encore utilisé de nos jours, la distinction entre les cultures aurignacienne et ahmarienne du Paléolithique supérieur et le Kébarien est difficile à mettre en évidence. Ce qui est à retenir c'est que l'Epipaléolithique du Proche-Orient couvre une période de transition (17000 - 10000 av. J.-C.) entre les derniers chasseurs-cueilleurs du Pléistocène supérieur et les premiers groupes sédentaires du Néolithique. L’industrie lithique de cette période transitoire se caractérise par la prédominance d’une production lamellaire et d’un outillage composite armé de microlithe « … Armatures de silex réduites à de très petits éléments dont on garnit de façon composite des corps d’outils en d’autres matériaux [bois ou os] » (Cauvin J. 1997, 31). La distinction des phases chrono-culturelles (le Kébarien, le Kébarien géométrique, le Natoufien) reste essentiellement basée sur la typologie des microlithes.	
34	36432				Kébarien géométrique															كباري هندسي(ar)						Cette l'industrie se rencontre sur tout le Levant de l'Euphrate jusqu'au Sinaï. Le Kébarien géométrique se distingue du Kébarien par la forme trapézoïdale, rectangulaire ou encore triangulaire des microlithes (v. Kébarien).	
35	24126			Kérémien									Ibéro-Maurusien							Keremian(en)	Keremiano(it)	Keremien(de)	Kérémien(nl)	Keremiense(es)	كيريمي(ar)	De Kef el Kerem (Algérie), gisement épipaléolithque dont l'industrie lithique est assimilée à l'Ibéromaurusien par P. Cadenat et G. Vuillemot en 1944. (Leroi- Gourhan 1994, 582)	
36	24129			Kunda																cultura de Kunda(es)	Kunda(en)	Kunda(it)	Kunda-cultuur(nl)	Kunda-Kultur(de)	ثقافة كوندا(ar)	Culture mésolithique du nord de la Russi d'Europe, tirant son nom du site de Kunda-Lammasmägi, près de la ville de Kunda au bord du golfe de Finlande. La culture Kunda est connue par des découverte isolées d'objets ornés en bois de cervidés, des sites d'habitat et des nécropoles. Son industrie lithique est caractérisée par le débitage régulier propre aux cultures du Cercle nord-oriental et par les pointes de Kunda (Leroi-Gourhan 1994, 615).	
37	24570			Limbourgien																culture de Limburgo(es)	Limbourgian(en)	Limburg-cultuur(nl)	Limburger cultura(it)	Limburger Kultur(de)	ليمبورغي(ar)	Terme créé par J.-G. Rozoy en 1978 d'après le nom de l'actuelle province belge du Limbourg pour désigner une culture mésolithique occupant la partie est du territoire situé autour de la frontière belgo-néerlandaise. Le Limbourgien est très proche de l'Ahrensbourgien et peut-être synonyme de la culture du Rhin de S. K. Kozlowski. Dans son stade ancien il est caractérisé par des pointes à troncature très oblique et pointes à cran microlithique. Le stade moyen est caractérisé par un débitage de style Coincy et voit l'introduction de la technique du microburin. À la fin du stade moyen apparaissent les pointes à retouches couvrantes. Le stade final du Limbourgien est caractérisé par un débitage de style Montbani et des rhombes (Leroi-Gourhan 1994, 651).	
38	24130			Maglemosien																Maglemose-cultuur(nl)	Maglemose-Kultur(de)	Maglemosian(en)	Maglemosiano(it)	Maglemosiense(es)	ماغلموزي(ar)	Culture créée en 1903 par G. F. L. Sarauw d'après les résultats de ses fouilles dans le grand marais (maglemose) du site danois de Mullerup (Zealand), considérée alors comme néolithique. Mais en 1927, elle a été placée par E. Westerby dans le Mésolithique. Actuellement cunnu par 41 sites au Danemark, le Maglemosien est daté entre 7600 et 6000 BC. L'industrie lithique est caractérisée par de petites lames, irrégulières dans les stades initiaux, devenant plus minces dans les stades finaux où elles s'associent à des lamelles. L'outillage est caractérisé par des herminettes, des pointes microlithiques à troncature ou à dos courbe et des triangles allongés de forme trapézoïdale dans les stades finaux. (Leroi-Gourhan 1994, 672-673).	
39	20647			Montadien																Montadian(en)	Montadiano(it)	Montadien(de)	Montadien(nl)	Montadiense(es)	مونتادي(ar)	Culture mésolithique définie par M. Escalon de Fonton en 1954 à partir de la grotte de la Montade (Plan-de-Cuques, près de Marseille). L'industrie lithique, dont le débitage a été qualifié autrefois de moustéroïde,  est caractérisée par sont aspect irrégulier où dominent les éclats. On y retrouve des lamelles tronquées, des lamelles à retouches régulières et des lamelles à dos minuscules (Leroi-Gourhan 1994, 733-734).	
40	24131			Montmorencien																Montmorencien(de)	Montmorencien(en)	Montmorencien(it)	Montmorencien(nl)	Montmorenciense(es)	مونتمورينسي(ar)	Terme introduit en 1922 par L. Franchet et L. Gitaux pour désigner les industries macrolithiques en grès lustré découvertes à la fin du XIXe siècle dans la forêt de Fontainebleau (Seine-et-Marne) et dans celle de Montmorency (Val-d'Oise). La présence d'outils en grès de style montmorencien dans des gisements tardenoisiens, sauveterriens à denticulés et beaugenciens plaident en faveur d'une attribution au Mésolithique de cette industrie originale. (Leroi-Gourhan 1994, 741-742).	
41	29893			Narva culture																Narva cultura(es)	Narva cultura(it)	Narva culture(en)	Narvacultuur(nl)	Narva Kultur(de)	ثقافة نارفا(ar)	Culture néolithique des IVe et IIIe millénaires av. J.-C. située dans le littoral de la Baltique orientale et au-delà en Lituanie, en Lettonie, en Estonie et dans une partie de la Pologne et de la Biélorussie. Elle fait suite à la culture mésolithique de Kunda. (The Concise Oxford dictionary of archaeology, 2nd ed. 2008, 301).	
42	12834			Natoufien																Natoufien(de)	Natoufien(nl)	Natufensed(es)	Natufian(en)	Natufiano(it)	نطوفي(ar)	Le Natoufien, isolé en 1928 par D. Garrod dans la grotte de Shoukba, a reçu son nom en 1932 en référence à la région de Wadi al Natouf. Cette culture s'étend sur tout le Levant. Succédant au Kébarien géométrique, le Natoufien est généralement considéré comme une phase de transition qui relie l’Épipaléolithique et le Néolithique (12500 - 10500 av. J.-C.). Les industries lithiques natoufiennes sont essentiellement lamellaires. Les lamelles produites sont préférentiellement destinées à la confection de microlithes et notamment des segments de cercles. Un débitage laminaire unipolaire apparait aussi au Natoufien final à Mureybet et se développe plus tard au détriment de la production de lamelles. En 1997, J. Cauvin décrit le Natoufien comme la phase pendant laquelle  la Révolution néolithique  se prépare. En effet, si l'économie repose encore sur la chasse  la pêche et la cueillette, Flannery, la décrit comme une économie à large spectre. Certains groupes natoufiens se sédentarisent en construisant des maisons curvilinéaires semi-enterrées comme à Mallaha et à Hayonim. L'inhumation dans des sépultures individuelles ou multiples, primaires ou secondaire est attestée et le le chien est parfois enterré avec l'homme ce qui suggère sa domestication dès cette période. (Leroi-Gourhan 1994, 769; Cauvin 1997).	
43	20648			Retzien																Retzian(en)	Retzien(de)	Retzien(it)	Retzien(nl)	Retziense(es)	ريتزي(ar)	Faciès culturel du Mésolithique récent breton connu principalement en pays de Retz (entre embouchure de la Loire et Vendée). Ce faciès a été isolé par J.-G. Rozoy en 1978 des industrie de Téviec, dont il se distingue par la forte proportion d'armatures à éperon et de pointes de Châtelet. Ces deux cultures dérivent d'une culture régionale commune (groupe Sud-Breton). (Leroi-Gourhan 1994, 937).	
44	12928			Sauveterrien																Sauveterrian(en)	Sauveterriano(it)	Sauveterrien(de)	Sauveterrien(nl)	Sauveterriense(es)	سوفيتري(ar)	Terme crée par L. Coulonges en 1928 pour désigner les industries mésolithiques découvertes entre le Magdalénien et le Tardenoisien dans l'abri du Martinet à Sauveterre-la-Lémance (Lot-et-Garonne). Le Sauveterrien typique est caractérisé par la dominance des microlithes : triangles, segments, pointes de Sauveterre, pointes à base transversale, auxquels s'associent des lamelles à bord abattu et grattoirs ronds. Au Sauveterrien moyen, les triangles isocèles disparaissent. Le stade récent est surtout caractérisé par des trapèzes dont celui de Martinet. (Leroi-Gourhan 1994, 992).	
45	20798			Swidérien																Swiderian(en)	Swideriano(it)	Swidérien(de)	Swidérien(nl)	Swideriense(es)	سويديري(ar)	Faciès culturel distingué par S. Krukowski en 1921, à partir de séries lithiques trouvées à Swiry Wielkie près de Varsovie. En 1930, L. Sawicki étendit ce terme à tous les outillages à pointes pédonculées swidériennes largement répandus sur la plaines de l'Europe centre-orientale. (Leroi-Gourhan 1994, 1054).	
